,preco,marca,status
2588,591,Distrito Federal,FAZER
2589,592,Distrito Federal,FAZER
2590,593,Distrito Federal,FAZER
2591,594,Distrito Federal,FAZER
2592,595,Distrito Federal,FAZER
2593,596,Distrito Federal,FAZER
2594,597,Distrito Federal,FAZER
2595,598,Distrito Federal,FAZER
2596,599,Distrito Federal,FAZER
2597,600,Distrito Federal,FAZER
2598,601,Distrito Federal,FAZER
2599,602,Distrito Federal,FAZER
2600,603,Distrito Federal,FAZER
2601,604,Distrito Federal,FAZER
2602,605,Distrito Federal,FAZER
2603,606,Distrito Federal,FAZER
2604,607,Distrito Federal,FAZER
2605,608,Distrito Federal,FAZER
2606,609,Distrito Federal,FAZER
2607,610,Distrito Federal,FAZER
2608,611,Distrito Federal,FAZER
2609,612,Distrito Federal,FAZER
2610,613,Distrito Federal,FAZER
2611,614,Distrito Federal,FAZER
2612,615,Distrito Federal,FAZER
2613,616,Distrito Federal,FAZER
2614,617,Distrito Federal,FAZER
2615,618,Distrito Federal,FAZER
2616,619,Distrito Federal,FAZER
2617,620,Distrito Federal,FAZER
2618,621,Distrito Federal,FAZER
2619,622,Distrito Federal,FAZER
2620,623,Distrito Federal,FAZER
2621,624,Distrito Federal,FAZER
2622,625,Distrito Federal,FAZER
2623,626,Distrito Federal,FAZER
2624,627,Distrito Federal,FAZER
2625,628,Distrito Federal,FAZER
2626,629,Distrito Federal,FAZER
2627,630,Distrito Federal,FAZER
2628,631,Distrito Federal,FAZER
2629,632,Distrito Federal,FAZER
2630,633,Distrito Federal,FAZER
2631,634,Distrito Federal,FAZER
2632,635,Distrito Federal,FAZER
2633,636,Distrito Federal,FAZER
2634,637,Distrito Federal,FAZER
2635,638,Distrito Federal,FAZER
2636,639,Distrito Federal,FAZER
2637,640,Distrito Federal,FAZER
2638,641,Distrito Federal,FAZER
2639,642,Distrito Federal,FAZER
2640,643,Distrito Federal,FAZER
2641,644,Distrito Federal,FAZER
2642,645,Distrito Federal,FAZER
2643,646,Distrito Federal,FAZER
2644,647,Distrito Federal,FAZER
2645,648,Distrito Federal,FAZER
2646,649,Distrito Federal,FAZER
2647,650,Distrito Federal,FAZER
2648,651,Distrito Federal,FAZER
2649,652,Distrito Federal,FAZER
2650,653,Distrito Federal,FAZER
2651,654,Distrito Federal,FAZER
2652,655,Distrito Federal,FAZER
2653,656,Distrito Federal,FAZER
2654,657,Distrito Federal,FAZER
2655,658,Distrito Federal,FAZER
2656,659,Distrito Federal,FAZER
2657,660,Distrito Federal,FAZER
2658,661,Distrito Federal,FAZER
2659,662,Distrito Federal,FAZER
2660,663,Distrito Federal,FAZER
2661,664,Distrito Federal,FAZER
2662,665,Distrito Federal,FAZER
